snapshot_date,product_id,store_id,stock_on_hand,reorder_point,lead_time_days
2025-12-08,PRD-0001,STR-002,116,17,6
2025-12-08,PRD-0001,STR-006,152,14,3
2025-12-08,PRD-0001,STR-012,174,10,13
2025-12-08,PRD-0001,STR-017,173,46,2
2025-12-08,PRD-0001,STR-018,1,48,12
2025-12-08,PRD-0002,STR-002,27,40,14
2025-12-08,PRD-0002,STR-006,133,21,9
2025-12-08,PRD-0002,STR-011,0,30,4
2025-12-08,PRD-0002,STR-012,35,44,8
2025-12-08,PRD-0002,STR-013,176,13,4
2025-12-08,PRD-0003,STR-001,86,20,2
2025-12-08,PRD-0003,STR-007,81,24,3
2025-12-08,PRD-0003,STR-009,80,43,6
2025-12-08,PRD-0003,STR-014,23,39,5
2025-12-08,PRD-0004,STR-005,153,17,6
2025-12-08,PRD-0004,STR-008,147,25,12
2025-12-08,PRD-0004,STR-013,160,10,9
2025-12-08,PRD-0005,STR-001,2,19,12
2025-12-08,PRD-0005,STR-007,116,31,9
2025-12-08,PRD-0005,STR-008,89,20,5
2025-12-08,PRD-0005,STR-010,161,38,10
2025-12-08,PRD-0005,STR-012,122,30,7
2025-12-08,PRD-0005,STR-014,111,16,4
2025-12-08,PRD-0005,STR-016,61,15,11
2025-12-08,PRD-0005,STR-017,12,12,13
2025-12-08,PRD-0006,STR-002,162,23,2
2025-12-08,PRD-0006,STR-007,4,29,5
2025-12-08,PRD-0006,STR-012,75,26,11
2025-12-08,PRD-0006,STR-013,57,10,3
2025-12-08,PRD-0006,STR-017,197,12,10
2025-12-08,PRD-0006,STR-018,105,36,12
2025-12-08,PRD-0007,STR-001,182,39,5
2025-12-08,PRD-0007,STR-002,70,30,13
2025-12-08,PRD-0007,STR-006,121,43,8
2025-12-08,PRD-0007,STR-010,73,10,11
2025-12-08,PRD-0007,STR-014,3,10,13
2025-12-08,PRD-0008,STR-017,183,39,11
2025-12-08,PRD-0009,STR-002,26,20,7
2025-12-08,PRD-0009,STR-003,198,11,13
2025-12-08,PRD-0009,STR-005,8,43,6
2025-12-08,PRD-0010,STR-001,178,17,8
2025-12-08,PRD-0010,STR-002,5,35,12
2025-12-08,PRD-0010,STR-003,197,46,11
2025-12-08,PRD-0010,STR-004,28,44,6
2025-12-08,PRD-0010,STR-008,142,35,12
2025-12-08,PRD-0010,STR-009,66,22,14
2025-12-08,PRD-0010,STR-010,126,38,8
2025-12-08,PRD-0010,STR-011,191,34,11
2025-12-08,PRD-0010,STR-014,182,18,11
2025-12-08,PRD-0010,STR-016,999999,14,4
2025-12-08,PRD-0011,STR-004,38,49,9
2025-12-08,PRD-0011,STR-006,197,25,13
2025-12-08,PRD-0011,STR-013,62,37,6
2025-12-08,PRD-0011,STR-014,169,12,2
2025-12-08,PRD-0011,STR-017,153,50,11
2025-12-08,PRD-0012,STR-002,189,49,13
2025-12-08,PRD-0012,STR-003,200,43,11
2025-12-08,PRD-0012,STR-004,22,36,4
2025-12-08,PRD-0012,STR-006,128,16,7
2025-12-08,PRD-0012,STR-007,182,17,5
2025-12-08,PRD-0012,STR-012,198,10,14
2025-12-08,PRD-0012,STR-015,105,34,6
2025-12-08,PRD-0012,STR-018,104,28,13
2025-12-08,PRD-0013,STR-003,112,43,10
2025-12-08,PRD-0013,STR-006,24,25,14
2025-12-08,PRD-0013,STR-012,164,23,9
2025-12-08,PRD-0013,STR-014,45,39,7
2025-12-08,PRD-0013,STR-017,178,11,4
2025-12-08,PRD-0014,STR-005,163,45,4
2025-12-08,PRD-0014,STR-008,7,36,2
2025-12-08,PRD-0014,STR-009,150,37,4
2025-12-08,PRD-0014,STR-011,45,16,11
2025-12-08,PRD-0014,STR-014,5,17,14
2025-12-08,PRD-0014,STR-015,136,10,7
2025-12-08,PRD-0015,STR-005,7,32,13
2025-12-08,PRD-0015,STR-006,53,11,3
2025-12-08,PRD-0015,STR-011,98,40,14
2025-12-08,PRD-0015,STR-013,58,33,6
2025-12-08,PRD-0015,STR-015,52,22,7
2025-12-08,PRD-0015,STR-016,129,25,10
2025-12-08,PRD-0015,STR-018,77,22,8
2025-12-08,PRD-0016,STR-005,132,36,7
2025-12-08,PRD-0016,STR-007,83,39,6
2025-12-08,PRD-0016,STR-018,156,13,6
2025-12-08,PRD-0017,STR-006,76,39,10
2025-12-08,PRD-0017,STR-007,155,15,3
2025-12-08,PRD-0017,STR-009,192,17,6
2025-12-08,PRD-0017,STR-010,165,38,12
2025-12-08,PRD-0017,STR-012,23,36,5
2025-12-08,PRD-0017,STR-014,179,24,2
2025-12-08,PRD-0017,STR-015,0,25,3
2025-12-08,PRD-0018,STR-003,35,30,12
2025-12-08,PRD-0018,STR-008,117,18,12
2025-12-08,PRD-0018,STR-009,38,47,5
2025-12-08,PRD-0018,STR-011,172,20,8
2025-12-08,PRD-0018,STR-013,49,20,8
2025-12-08,PRD-0018,STR-014,185,22,10
2025-12-08,PRD-0018,STR-017,127,36,8
2025-12-08,PRD-0019,STR-005,106,40,2
2025-12-08,PRD-0019,STR-009,103,50,6
2025-12-08,PRD-0019,STR-010,37,15,8
2025-12-08,PRD-0020,STR-001,123,19,12
2025-12-08,PRD-0020,STR-002,154,34,2
2025-12-08,PRD-0020,STR-011,18,43,7
2025-12-08,PRD-0020,STR-016,149,48,10
2025-12-08,PRD-0020,STR-018,181,25,10
2025-12-08,PRD-0021,STR-001,187,12,5
2025-12-08,PRD-0021,STR-005,121,49,3
2025-12-08,PRD-0021,STR-010,167,45,10
2025-12-08,PRD-0021,STR-011,8,22,7
2025-12-08,PRD-0021,STR-016,160,43,7
2025-12-08,PRD-0022,STR-005,178,13,5
2025-12-08,PRD-0022,STR-009,33,44,5
2025-12-08,PRD-0022,STR-010,74,38,14
2025-12-08,PRD-0022,STR-014,55,48,5
2025-12-08,PRD-0022,STR-016,44,45,6
2025-12-08,PRD-0023,STR-001,22,37,7
2025-12-08,PRD-0023,STR-009,142,15,3
2025-12-08,PRD-0023,STR-010,49,13,13
2025-12-08,PRD-0023,STR-011,26,35,2
2025-12-08,PRD-0023,STR-013,115,46,14
2025-12-08,PRD-0023,STR-015,116,28,3
2025-12-08,PRD-0023,STR-016,104,33,5
2025-12-08,PRD-0023,STR-017,174,14,6
2025-12-08,PRD-0024,STR-001,114,38,2
2025-12-08,PRD-0024,STR-003,180,28,7
2025-12-08,PRD-0024,STR-007,129,15,5
2025-12-08,PRD-0024,STR-012,96,36,4
2025-12-08,PRD-0024,STR-016,89,33,7
2025-12-08,PRD-0024,STR-018,24,24,14
2025-12-08,PRD-0025,STR-001,130,44,10
2025-12-08,PRD-0025,STR-002,187,13,2
2025-12-08,PRD-0025,STR-006,190,32,8
2025-12-08,PRD-0025,STR-009,79,41,3
2025-12-08,PRD-0025,STR-010,18,39,14
2025-12-08,PRD-0026,STR-003,15,21,2
2025-12-08,PRD-0026,STR-005,26,47,8
2025-12-08,PRD-0026,STR-007,69,28,10
2025-12-08,PRD-0026,STR-008,118,12,13
2025-12-08,PRD-0026,STR-009,54,18,14
2025-12-08,PRD-0026,STR-010,119,10,12
2025-12-08,PRD-0026,STR-012,178,28,4
