product_id,category,brand,base_price_aed,unit_cost_aed,tax_rate,launch_flag
PRD-0001,Beauty,Loreal,389.0,184.18,0.05,New
PRD-0002,Electronics,Lenovo,629.0,331.22,0.05,New
PRD-0003,Fashion,Puma,629.0,357.51,0.05,Regular
PRD-0004,Home,Homes R Us,509.0,293.58,0.05,Regular
PRD-0005,Electronics,Sony,3559.0,1786.89,0.05,Regular
PRD-0006,Sports,Decathlon,129.0,66.3,0.05,Regular
PRD-0007,Fashion,  Mango  ,829.0,513.08,0.05,Regular
PRD-0008,Sports,Skechers,109.0,53.19,0.05,Regular
PRD-0009,Sports,Decathlon,489.0,298.96,0.05,New
PRD-0010,Fashion,Mango,989.0,649.37,0.05,Regular
PRD-0011,Fashion,Guess,659.0,335.73,0.05,Regular
PRD-0012,Fashion,Mango,729.0,441.09,0.05,New
PRD-0013,Beauty,Estee Lauder,379.0,170.18,0.05,Regular
PRD-0014,Sports,Asics,219.0,108.91,0.05,Regular
PRD-0015,Electronics,Samsung,4069.0,2117.3,0.05,New
PRD-0016,Sports,Columbia,719.0,355.48,0.05,Regular
PRD-0017,Fashion,Guess,189.0,83.52,0.05,Regular
PRD-0018,Grocery,Coca-Cola,99.0,56.93,0.05,Regular
PRD-0019,Sports,Under Armour,439.0,187.57,0.05,New
PRD-0020,Electronics,Sony,4009.0,2111.33,0.05,New
PRD-0021,Fashion,Guess,559.0,386.45,0.05,Regular
PRD-0022,Electronics,Apple,3479.0,1952.04,0.05,Regular
PRD-0023,Beauty,Maybelline,179.0,80.09,0.05,New
PRD-0024,Home,Crate & Barrel,1959.0,1231.41,0.05,Regular
PRD-0025,Electronics,Huawei,4249.0,2346.72,0.05,Regular
PRD-0026,Fashion,Zara,569.0,360.51,0.05,Regular
PRD-0027,Electronics,Xiaomi,2549.0,1105.15,0.05,Regular
PRD-0028,Sports,Reebok,229.0,,0.05,Regular
PRD-0029,Electronics,HP,4129.0,2863.03,0.05,Regular
PRD-0030,Electronics,HP,4749.0,2134.86,0.05,Regular
PRD-0031,Beauty,Nivea,479.0,300.13,0.05,Regular
PRD-0032,Home,Homes R Us,1999.0,1189.33,0.05,Regular
PRD-0033,Grocery,Masafi,59.0,24.73,0.05,New
PRD-0034,Beauty,Neutrogena,139.0,58.56,0.05,Regular
PRD-0035,Fashion,Nike,879.0,370.29,0.05,Regular
PRD-0036,Beauty,Nivea,289.0,178.31,0.05,Regular
PRD-0037,Beauty,Nivea,409.0,262.68,0.05,Regular
PRD-0038,Electronics,Dell,1909.0,999.04,0.05,Regular
PRD-0039,Electronics,Apple,499.0,308.61,0.05,Regular
PRD-0040,Electronics,LG,1119.0,598.2,0.05,Regular
PRD-0041,Fashion,H&M,889.0,375.71,0.05,Regular
PRD-0042,Sports,Adidas,89.0,62.28,0.05,Regular
PRD-0043,Sports,Puma,179.0,97.68,0.05,Regular
PRD-0044,Grocery,Al Ain,49.0,19.63,0.05,Regular
PRD-0045,Sports,New Balance,269.0,163.81,0.05,Regular
PRD-0046,Home,Pan Emirates,389.0,190.23,0.05,Regular
PRD-0047,Beauty,Estee Lauder,69.0,34.09,0.05,New
PRD-0048,Grocery,Pepsi,49.0,33.72,0.05,New
PRD-0049,Electronics,Bose,539.0,354.96,0.05,Regular
