order_id,order_time,product_id,store_id,qty,selling_price_aed,discount_pct,payment_status,return_flag
ORD-001262,2025-09-20 04:58:12,PRD-0076,STR-011,2,239.0,0.0,Paid,False
ORD-012121,2025-11-07 13:58:47,PRD-0005,STR-014,1,3559.0,0.0,Paid,False
ORD-006089,2026-01-07 05:31:07,PRD-0031,STR-018,1,3353.0,30.0,Refunded,False
ORD-009657,2025-09-13 08:02:49,PRD-0072,STR-018,1,979.0,0.0,Failed,True
ORD-014979,2025-10-11 12:38:58,PRD-0048,STR-008,1,44.1,10.0,Refunded,False
ORD-005889,2026-01-05 08:01:46,PRD-0115,STR-017,1,87.2,20.0,paiD,False
ORD-017642,2025-10-23 11:16:01,PRD-0006,STR-002,2,109.65,15.0,Paid,False
ORD-008595,2025-09-18 12:27:31,PRD-0087,STR-015,2,4436.1,10.0,Paid,False
ORD-012399,2025/09/19 13:28:19,PRD-0061,STR-001,2,4189.0,0.0,Paid,False
ORD-013953,2025-10-11 01:27:25,PRD-0043,STR-010,1,179.0,0.0,Paid,False
ORD-009724,2025-11-18 16:02:19,PRD-0063,STR-001,2,69.0,0.0,Failed,False
ORD-011309,13-12-2025 07:42:14,PRD-0136,STR-004,1,2459.0,0.0,Paid,False
ORD-014078,2025-09-23 10:59:54,PRD-0029,STR-004,1,4129.0,0.0,Paid,False
ORD-008659,2025-11-05 11:01:03,PRD-0122,STR-005,2,849.0,0.0,Paid,False
ORD-016850,02/01/2026 03:33:08,PRD-0008,STR-016,1,109.0,0.0,Paid,False
ORD-013943,2026-01-02 06:12:37,PRD-0072,STR-018,2,832.15,15.0,Paid,False
ORD-015333,2025-10-31 07:18:28,PRD-0142,STR-008,1,479.0, ,Paid,False
ORD-010075,2025-12-31 12:33:20,PRD-0170,STR-011,1,179.1,10.0,Paid,False
ORD-001120,2025-12-30 12:37:33,PRD-0108,STR-017,1,284.05,5.0,Paid,True
ORD-015826,2025-12-30 15:31:40,PRD-0023,STR-015,1,161.1,10.0,Paid,False
ORD-012482,2025-09-26 14:20:24,PRD-0015,STR-016,1,3255.2,20.0,Paid,False
ORD-014306,2025-09-27 02:30:32,PRD-0001,STR-999,3,330.65,15.0,Paid,False
ORD-007201,2025-09-20 09:29:22,PRD-0043,STR-002,1,152.15,15.0,Paid,True
ORD-010908,2024/31/12,PRD-0002,STR-009,1,471.75,25.0,Paid,False
ORD-000252,2025-12-28 02:13:48,PRD-0176,STR-010,3,59.25,25.0,Paid,0
ORD-007090,2025-10-11 08:55:52,PRD-0028,STR-005,4,171.75,25.0,Paid,False
ORD-003166,2025-10-13 11:57:05,PRD-0011,STR-003,2,593.1,10.0,Paid,False
ORD-013731,2025-09-20 06:41:26,PRD-0162,STR-007,3,369.0,0.0,Paid,F
ORD-014525,2025-12-21 10:29:16,PRD-0133,STR-012,1,364.65,,Paid,False
ORD-007309,2025-12-08 11:00:37,PRD-0191,STR-007,2,356.3,30.0,Paid,False
ORD-002486,2025-12-30 07:09:49,PRD-0140,STR-005,1,1421.1,10.0,Paid,False
ORD-005712,2025-10-19 11:58:21,PRD-0021,STR-017,1,531.05,5.0,Failed,True
ORD-006109,2025-11-11 12:34:50,PRD-0108,STR-013,1,254.15,15.0,Paid,False
ORD-004411,"December 21, 2025 14:40:54",PRD-0172,STR-001,1,787.55,5.0,Paid,False
ORD-007572,2025-11-09 12:50:10,PRD-0103,STR-018,3,287.1,10.0,Paid,False
ORD-012568,2025-10-09 10:45:32,PRD-0017,STR-012,1,189.0,0.0,Paid,False
ORD-005421,2025-12-07 15:22:44,PRD-0032,STR-006,4,1799.1,10.0,Paid,False
ORD-017605,2025-12-06 09:21:45,PRD-0133,STR-010,2,386.1,10.0,Paid,False
ORD-011300,2026-01-04 06:44:16,PRD-0160,STR-004,2,1394.1,,Paid,False
ORD-012417,2025-10-18 01:33:44,PRD-0099,STR-007,2,23.2,20.0,Paid,False
