order_id,order_time,product_id,store_id,qty,selling_price_aed,discount_pct,payment_status,return_flag
ORD0000001,28/12/2024 17:08,PRD00079,STR006,1.0,4457.79,5.83,Refunded,True
ORD0000002,2024-01-24 01:35:18,PRD00098,STR016,1.0,3603.01,34.57,Refunded,1
ORD0000003,2024-12-23 04:40:55,PRD00005,STR010,18.0,2594.78,2.84,Refunded,True
ORD0000004,2024-09-08 03:55:00,XXX,STR022,17.0,2521.87,35.06,Refunded,False
ORD0000005,2024-10-20 09:30:30,PRD00037,STR023,13.0,1349.42,18.6,Failed,1
ORD0000006,2024-08-13 10:11:03,PRD00042,STR018,8.0,1944.61,34.65,Paid,True
ORD0000007,2024-05-09 15:07:52,PRD00073,STR018,10.0,1273.11,3.54,Paid,0
ORD0000008,2024-02-03 12:31:04,,,13.0,,26.71,Failed,0
ORD0000009,2024-10-22 20:43:03,PRD00073,STR011,15.0,2720.25,20.52,Failed,False
ORD0000010,2024-03-18 04:51:36,PRD00006,STR024,8.0,1030.92,21.21,Paid,1
ORD0000011,2024-06-04 02:15:07,PRD00066,STR013,19.0,3766.16,25.58,Failed,True
ORD0000012,2024-10-12 13:38:38,PRD00008,STR012,4.0,2120.07,27.7,Paid,True
ORD0000013,2024-11-12 07:49:33,PRD00093,STR004,20.0,2262.28,49.77,Paid,False
ORD0000014,2024-07-13 14:58:28,PRD00092,STR025,1.0,2885.52,16.08,Paid,False
ORD0000015,2024-06-01 18:27:19,PRD00092,STR015,1.0,124.48,11.12,Refunded,False
ORD0000016,2024-10-18 19:03:39,PRD00017,STR019,17.0,3952.02,8.3,Paid,True
ORD0000017,2024-02-20 06:40:13,PRD00064,STR022,17.0,840.26,105.40334584393159,Failed,False
ORD0000018,2024-05-15 21:05:10,PRD00009,STR000,19.0,4886.79,41.34,Failed,False
ORD0000019,2024-05-02 05:35:04,PRD00009,STR021,19.0,2705.88,20.6,Paid,1
ORD0000020,2024-03-21 00:26:28,PRD00018,STR013,3.0,2033.3,25.0,Refunded,False
ORD0000021,18/12/2024 19:30,PRD00020,STR006,4.0,3621.67,10.48,Refunded,1
ORD0000022,2024-01-17 07:18:45,PRD00014,STR010,9.0,3194.31,-47.402194627677055,Paid,0
ORD0000023,2024-05-24 22:55:29,PRD00067,STR021,4.0,3489.59,22.7,Paid,1
ORD0000024,2024-02-06 21:14:59,PRD00021,STR002,13.0,1912.14,34.72,Refunded,True
ORD0000025,2024-05-15 20:37:42,PRD00092,STR020,1.0,4260.59,32.54,Failed,False
ORD0000026,04-11-2024 13:07:34,PRD00031,STR014,1.0,3204.17,34.66,Refunded,True
ORD0000027,2024-04-25 20:09:58,PRD00012,STR023,19.0,1273.44,42.57,Refunded,False
ORD0000028,2024-05-16 04:04:03,,STR021,,4587.6,0.42,Paid,1
ORD0000029,2024-03-25 09:38:47,PRD00047,STR010,13.0,4454.36,37.97,Paid,0
ORD0000030,2024-10-18 09:28:07,PRD-001,STR020,19.0,4384.77,44.24,Failed,True
ORD0000031,2024-08-27,PRD00044,STR013,5.0,3000.98,7.39,Failed,0
ORD0000032,2024-07-25 08:32:34,PRD00011,STR013,8.0,129.89,42.92,Refunded,1
ORD0000033,2024-09-09 14:05:38,PRD00053,STR018,5.0,4927.0,13.23,Refunded,1
ORD0000034,2024-01-21 13:47:20,PRD00044,STR008,16.0,4586.96,17.31,Paid,True
ORD0000035,2024-11-05 08:01:05,PRD00097,STR024,7.0,1406.86,48.39,Failed,False
ORD0000036,19/10/2020,PRD00009,STR009,15.0,3578.81,24.77,Failed,True
ORD0000037,2024-12-10 08:36:02,PRD00064,STR999,19.0,269.47,228.09868878061016,Failed,0
ORD0000038,2024-03-30 15:33:41,PRD00052,STR014,18.0,4336.76,0.43,Failed,False
ORD0000039,2024-08-14 08:11:37,PRD00070,STR001,19.0,736.4,42.58,Failed,0
